id,roa,recall,precision,actual_id,pred_id,cov,mdr,subject,mvc,attempt
246,0.9940828402366857,0.9970326409495546,0.9970326409495546,307,22,0.1595032216256436,1.255422830581665e-06,2,30,1
247,0.655,1.0,0.655,385,46,0.4248295870281683,7.450580596923828e-07,2,30,1
248,0.9962406015037586,0.9962406015037589,0.9999999999999996,342,256,0.12977983062695836,9.872019290924072e-07,2,30,1
249,0.9981167608286252,0.9981167608286252,1.0,17,37,0.15797835828707205,1.9744038581848145e-06,2,30,1
250,0.9964912280701751,0.9964912280701752,0.9999999999999998,331,52,0.14713674415077133,1.0579824447631836e-06,2,30,1
251,0.9974226804123711,1.0,0.9974226804123711,274,53,0.14752846876501477,1.4454126358032227e-06,2,30,1
252,0.9975845410628019,1.0,0.9975845410628019,255,55,0.13922946857707683,1.5422701835632324e-06,2,30,1
253,0.9685314685314681,0.9964028776978415,0.9719298245614033,336,58,0.15044468154951865,1.0617077350616455e-06,2,30,1
254,0.9840909090909091,0.9976958525345622,0.9863325740318907,237,84,0.14222352616946374,1.6354024410247803e-06,2,30,1
255,0.7138461538461539,1.0000000000000002,0.7138461538461539,354,85,0.32937437809485853,1.210719347000122e-06,2,30,1
256,0.9977011494252873,0.9977011494252873,1.0,232,268,0.16339921795685988,1.6167759895324707e-06,2,30,1
257,0.8523809523809524,1.0,0.8523809523809524,372,150,0.2641827988769858,7.82310962677002e-07,2,30,1
258,0.905723905723905,0.9962962962962959,0.9087837837837834,339,338,0.20526230022764014,1.1026859283447266e-06,2,30,1
259,0.9601990049751243,1.0,0.9601990049751243,367,297,0.18104869587207198,7.487833499908447e-07,2,30,1
260,0.9955156950672641,0.9955156950672643,0.9999999999999998,356,11,0.1585797491293762,8.270144462585449e-07,2,30,2
261,1.0,1.0,1.0,380,142,0.1609743760518993,5.587935447692871e-07,2,30,2
262,0.9977220956719818,0.9977220956719818,1.0,235,1,0.1395455223648015,1.6316771507263184e-06,2,30,2
263,1.0000000000000002,1.0000000000000002,1.0000000000000002,366,9,0.1527553441203168,7.227063179016113e-07,2,30,2
264,0.8523809523809524,1.0,0.8523809523809524,372,210,0.2641827988769858,7.82310962677002e-07,2,30,2
265,1.0,1.0,1.0,383,5,0.15739036106979237,5.21540641784668e-07,2,30,2
266,0.9942528735632178,0.994252873563218,0.9999999999999997,373,231,0.17370343974062996,6.444752216339111e-07,2,30,2
267,0.9999999999999992,0.9999999999999997,0.9999999999999997,381,31,0.14859194297373732,5.476176738739014e-07,2,30,2
268,1.0,1.0,1.0,379,7,0.13444479488071903,5.811452865600586e-07,2,30,2
269,1.0,1.0,1.0,309,10,0.15015826473179028,1.2367963790893555e-06,2,30,2
270,0.7910447761194025,0.9937499999999997,0.7949999999999997,378,90,0.31245105627024733,7.450580596923828e-07,2,30,2
271,0.9601990049751243,1.0,0.9601990049751243,367,20,0.18138576161039954,7.487833499908447e-07,2,30,2
272,0.9964912280701751,0.9964912280701752,0.9999999999999998,331,122,0.14713674415077133,1.0579824447631836e-06,2,30,2
273,0.9947089947089941,0.9947089947089944,0.9999999999999997,368,33,0.17620873304881784,7.003545761108398e-07,2,30,2
274,1.0,1.0,1.0,255,337,0.13924831785902664,1.5385448932647705e-06,2,30,2
275,0.9944444444444438,0.9944444444444441,0.9999999999999997,371,35,0.14835405155750525,6.668269634246826e-07,2,30,2
276,0.9975308641975303,0.9975308641975306,0.9999999999999997,261,112,0.14800952834668835,1.5050172805786133e-06,2,30,2
277,0.977859778597786,0.9962406015037594,0.9814814814814815,342,159,0.14273334384670153,1.0058283805847168e-06,2,30,2
278,0.9651567944250863,0.9964028776978413,0.9685314685314681,336,333,0.15194708073524135,1.0654330253601074e-06,2,30,2
279,0.9788135593220334,0.9956896551724136,0.9829787234042551,355,204,0.14620101831335824,8.754432201385498e-07,2,30,2
280,0.655,1.0,0.655,385,99,0.40757298313115664,7.450580596923828e-07,2,30,2
281,0.998046875,0.998046875,1.0,109,108,0.14686646421973856,1.903623342514038e-06,2,30,2
282,1.0,1.0,1.0,274,157,0.147068924117447,1.4416873455047607e-06,2,30,2
283,0.9981167608286252,0.9981167608286252,1.0,17,134,0.15797835828707205,1.9744038581848145e-06,2,30,2
284,0.9471830985915489,0.9962962962962961,0.9505300353356888,339,139,0.17777155093341593,1.0542571544647217e-06,2,30,2
285,0.9863325740318909,0.9976958525345624,0.9885844748858449,237,147,0.14048734105985658,1.6316771507263184e-06,2,30,2
286,0.6783625730994153,1.0000000000000002,0.6783625730994153,354,151,0.3452835113285141,1.2740492820739746e-06,2,30,2
287,0.9954128440366973,0.9977011494252873,0.9977011494252873,232,176,0.16325171126453256,1.6205012798309326e-06,2,30,2
288,0.9980952380952381,0.9980952380952381,1.0,29,302,0.15086026545420944,1.952052116394043e-06,2,30,2
289,0.9955156950672641,0.9955156950672643,0.9999999999999998,356,36,0.1585797491293762,8.270144462585449e-07,2,30,3
290,1.0,1.0,1.0,380,68,0.1609743760518993,5.587935447692871e-07,2,30,3
291,0.9999999999999992,0.9999999999999997,0.9999999999999997,381,1,0.14858837185200588,5.476176738739014e-07,2,30,3
292,1.0000000000000002,1.0000000000000002,1.0000000000000002,366,38,0.1527553441203168,7.227063179016113e-07,2,30,3
293,0.9974226804123711,1.0,0.9974226804123711,274,120,0.15138197039374088,1.4454126358032227e-06,2,30,3
294,1.0,1.0,1.0,255,162,0.13924831785902664,1.5385448932647705e-06,2,30,3
295,1.0,1.0,1.0,379,5,0.13444479488071903,5.811452865600586e-07,2,30,3
296,1.0,1.0,1.0,383,34,0.15739036106979237,5.21540641784668e-07,2,30,3
297,0.9814814814814806,0.9962406015037589,0.9851301115241632,342,7,0.13668069558190496,1.0021030902862549e-06,2,30,3
298,0.9788135593220334,0.9956896551724136,0.9829787234042551,355,171,0.14587784313381336,8.754432201385498e-07,2,30,3
299,0.998046875,0.998046875,1.0,109,10,0.14686646421973856,1.903623342514038e-06,2,30,3
300,1.0,1.0,1.0,309,12,0.15015826473179028,1.2367963790893555e-06,2,30,3
301,0.9942528735632178,0.994252873563218,0.9999999999999997,373,62,0.17370343974062996,6.444752216339111e-07,2,30,3
302,0.9944444444444438,0.9944444444444441,0.9999999999999997,371,184,0.14835405155750525,6.668269634246826e-07,2,30,3
303,0.9980952380952381,0.9980952380952381,1.0,29,17,0.15086026545420944,1.952052116394043e-06,2,30,3
