id,time,subject,mvc,attempt
0,781.5257341861725,1,10,1
1,782.1518442630768,1,10,2
2,773.1074934005737,1,10,3
3,783.3726217746735,1,10,4
4,936.6990675926208,1,10,5
5,811.797290802002,2,30,1
6,820.1557955741882,2,30,2
7,835.2997307777405,2,30,3
8,822.768247127533,2,30,4
9,808.7511723041534,2,30,5
10,1111.9061405658722,3,50,1
11,1095.653464794159,3,50,2
12,1116.5394403934479,3,50,3
13,1086.6896178722382,3,50,4
14,1125.6875431537628,3,50,5
15,1038.6723833084106,4,10,1
16,890.3636019229889,4,10,2
17,854.0334556102753,4,10,3
18,878.062352180481,4,10,4
19,857.8005955219269,4,10,5
20,833.0824673175812,5,30,1
21,810.1900601387024,5,30,2
22,802.5767207145691,5,30,3
23,830.2678899765015,5,30,4
24,865.7846646308899,5,30,5
25,1097.1208107471466,6,50,1
26,1124.2795934677124,6,50,2
27,1122.8251295089722,6,50,3
28,1090.9644756317139,6,50,4
29,1073.1128561496735,6,50,5
30,778.8133919239044,7,10,1
31,762.6164500713348,7,10,2
32,780.0558929443359,7,10,3
33,772.6609923839569,7,10,4
34,773.9471063613892,7,10,5
35,803.7657754421234,8,30,1
36,796.7500438690186,8,30,2
37,807.2427208423615,8,30,3
38,813.4397852420807,8,30,4
39,815.7129995822906,8,30,5
40,1083.146056652069,9,50,1
41,1068.622879743576,9,50,2
42,1079.1871235370636,9,50,3
43,1087.8319535255432,9,50,4
44,1083.764987707138,9,50,5
45,775.9969971179962,10,10,1
46,740.6239774227142,10,10,2
47,761.4470727443695,10,10,3
48,757.461287021637,10,10,4
49,771.5361452102661,10,10,5
50,812.2908186912537,11,30,1
51,822.184983253479,11,30,2
52,799.2824230194092,11,30,3
53,785.5062611103058,11,30,4
54,787.9038124084473,11,30,5
55,1101.5496232509613,12,50,1
56,1077.6957116127014,12,50,2
57,1089.2908174991608,12,50,3
58,1081.4860472679138,12,50,4
59,1099.6299178600311,12,50,5
60,780.0357341766357,13,10,1
61,799.2930178642273,13,10,2
62,863.0345129966736,13,10,3
63,783.9071505069733,13,10,4
64,754.5774877071381,13,10,5
65,803.9141998291016,14,30,1
66,824.3088536262512,14,30,2
67,821.3776338100433,14,30,3
68,796.2030141353607,14,30,4
69,800.0591127872467,14,30,5
70,1079.334191083908,15,50,1
71,1103.3875465393066,15,50,2
72,1074.749505519867,15,50,3
73,1095.817991733551,15,50,4
74,1060.2644391059875,15,50,5
